address,ens_name,follow_count,follow_count_space,follow_count_non_space,total_votes,total_proposal_interaction,total_proposal_interaction_in_space,total_proposal_interaction_non_space,total_nft,rewards_nft
0x6Ce617317a75aCa2c9F7129bBe329BCD242c884A,alicegalaxy.eth,20,0,20,45816.75228,523,93,430,50,0
0x070341aA5Ed571f0FB2c4a5641409B1A46b4961b,NULL,12,1,11,13496350.03,517,92,425,1,0
0xF3B23BB212567c174f356437F98544bf13164436,anpay.eth,20,1,19,91747.69824,511,71,440,38,2
0x6CEEa0FC41387fC6780aA78125ffdE3EcE0dc103,ppyaa.eth,15,1,14,29644.5574,505,73,432,37,1
0x1e39cC29009ED4760c186d8771295c1E224882d4,madiba.eth,20,1,19,659150.5167,503,84,419,28,1
0x819Fec659e1C225ce330B02e01f1e4c629E92A7a,forough.eth,20,0,20,31001.50992,494,89,405,50,0
0x5F4ef5C539a56291665FcCa4e6b7a6446AD11Cc1,zhongwei.eth,20,1,19,150590.9996,490,74,416,50,2
0x520cc7572527711B8C50bceFe1d881F8ddb5Fe8C,xuyunming.eth,20,0,20,43731.52965,485,59,426,50,0
0xF42aD66F4b66628584f2E97421A008d62A8f116c,defi0.eth,20,1,19,97606.7118,476,93,383,50,1
0x79e684A001fDD917FE61bf0643d5800956C91A83,lunanft.eth,17,1,16,27982.80036,469,81,388,50,0
0x17dfD18987B6B131686fea478600b75D11193335,NULL,20,0,20,245760.2294,465,69,396,50,1
0x17dfD18987B6B131686fea478600b75D11193335,NULL,20,0,20,245760.2294,465,69,396,50,1
0xf3FE8c6c75bE4afB2F8200Fc77339abE4D7CFF33,kuiqian.eth,20,0,20,91920.94183,465,75,390,50,0
0x1D1a13b16667c284b87de62CAEEfF0ce89E342B2,stablenodegov.eth,4,1,3,7261885.661,462,92,370,0,0
0xd5FAE9a76DE0bF1063eEE5D4AE05Be77cB08E68A,NULL,17,1,16,32535.64867,451,88,363,50,0
0x74075D1A2481F25343B32Bb1A7bf6336Ee42B016,shuangzzz.eth,20,0,20,43735.63049,441,89,352,50,3
